Iteration,zeta,ESS,mu,gamma,sigma_j,sigma_v,rho,k,v_p,lat_z,lat_v
112,0.314899,1177.91,0.0815,0.7125,0.703,0.1395,0.649,0.058,0.1615,0.0284338,0.362957
113,0.318244,1063.09,0.316,0.7125,0.6945,0.4875,0.6495,0.284,0.026,0.0283344,0.363682
114,0.321573,2000,0.0855,0.697,0.709,0.1355,0.636,0.0655,0.1325,0.0271656,0.359139
115,0.335486,1794.6,0.355,0.709,0.7025,0.4725,0.635,0.2605,0.14,0.0263609,0.358593
116,0.341326,1621.62,0.072,0.6985,0.6865,0.1245,0.6505,0.062,0.141,0.0262185,0.357156
117,0.345829,1469.4,0.339,0.6975,0.7045,0.4405,0.646,0.2415,0.1355,0.0262318,0.357083
118,0.349662,1332.04,0.0675,0.701,0.712,0.1165,0.641,0.0525,0.1185,0.0264768,0.356397
119,0.353472,1194.36,0.3285,0.713,0.711,0.4355,0.6335,0.248,0.116,0.0255331,0.353331
120,0.356629,1083.45,0.0695,0.707,0.707,0.109,0.642,0.0475,0.1205,0.025447,0.351169
121,0.359771,2000,0.304,0.724,0.7085,0.404,0.6265,0.253,0.132,0.0242748,0.352689
122,0.3729,1807.24,0.0665,0.6995,0.717,0.1095,0.6315,0.0575,0.1215,0.0240132,0.351795
123,0.379025,1617.51,0.3005,0.6955,0.6895,0.402,0.6315,0.2315,0.13,0.023606,0.352086
124,0.383876,1448.74,0.0755,0.6955,0.6895,0.1015,0.63,0.053,0.127,0.0241722,0.35152
125,0.388088,1301.08,0.2805,0.6945,0.704,0.383,0.6355,0.2335,0.1105,0.0239139,0.349563
126,0.391673,1175.02,0.0685,0.703,0.728,0.0785,0.634,0.056,0.1075,0.0239205,0.349987
127,0.395238,1052.59,0.269,0.7035,0.7105,0.3745,0.6505,0.2205,0.1125,0.0234702,0.350232
128,0.398781,2000,0.095,0.722,0.697,0.083,0.624,0.072,0.176,0.0222616,0.351116
129,0.412872,1794.75,0.379,0.709,0.7155,0.3455,0.6315,0.2875,0.03,0.0224967,0.351467
130,0.419179,1610.55,0.0905,0.704,0.722,0.079,0.6235,0.069,0.169,0.0222252,0.349265
131,0.424284,1443.66,0.373,0.699,0.7125,0.3285,0.6185,0.298,0.03,0.021702,0.346444
132,0.428782,1292.56,0.085,0.7175,0.6915,0.068,0.599,0.0605,0.1485,0.0218212,0.348596
133,0.432687,1161.96,0.359,0.698,0.6955,0.316,0.6315,0.2845,0.16,0.0215331,0.347576
134,0.436011,1050.88,0.08,0.71,0.7055,0.0625,0.634,0.0585,0.028,0.0221358,0.345063
135,0.439315,2000,0.5115,0.6955,0.719,0.325,0.6285,0.3455,0.286,0.0205563,0.354202
136,0.454647,1793.02,0.137,0.6955,0.713,0.0645,0.6285,0.077,0.0685,0.0201921,0.352692
137,0.46157,1608.74,0.4895,0.708,0.7125,0.2945,0.6215,0.3235,0.277,0.0203874,0.35096
138,0.466828,1452.66,0.135,0.6935,0.7125,0.067,0.6335,0.08,0.064,0.0203212,0.351106
139,0.471514,1311.2,0.475,0.6915,0.695,0.285,0.613,0.3265,0.278,0.0203212,0.350033
140,0.475643,1186.86,0.132,0.699,0.698,0.074,0.606,0.087,0.0685,0.0205861,0.350937
141,0.47974,1066.81,0.4555,0.6855,0.708,0.2805,0.614,0.3165,0.283,0.0196159,0.350096
142,0.483804,2000,0.2125,0.674,0.7005,0.0855,0.6245,0.089,0.1185,0.0191788,0.360702
143,0.499935,1803.44,0.221,0.685,0.7055,0.3075,0.6035,0.4,0.491,0.0190364,0.363053
144,0.507749,1617.87,0.1995,0.6945,0.707,0.0785,0.596,0.105,0.1165,0.0194437,0.360272
145,0.513517,1464.36,0.224,0.685,0.7045,0.333,0.61,0.384,0.477,0.0191589,0.360851
146,0.519218,1309.97,0.2035,0.7055,0.7035,0.077,0.5985,0.0935,0.1295,0.0192947,0.35801
147,0.523913,1185.44,0.198,0.6965,0.7015,0.2955,0.5925,0.3715,0.4825,0.0188146,0.358921
148,0.528563,1066.02,0.212,0.7,0.6905,0.0625,0.601,0.099,0.1175,0.0191258,0.35656
149,0.533167,2000,0.257,0.688,0.6885,0.365,0.601,0.4585,0.853,0.0177616,0.367778
150,0.551402,1790.24,0.239,0.7075,0.711,0.0905,0.603,0.1285,0.104,0.0177417,0.366407
151,0.559288,1612.44,0.2305,0.694,0.719,0.331,0.593,0.446,0.8535,0.0175762,0.367159
152,0.565313,1457.4,0.233,0.705,0.705,0.0795,0.593,0.115,0.116,0.0176954,0.364709
153,0.570832,1312.09,0.2225,0.6735,0.7145,0.335,0.5875,0.452,0.824,0.0173377,0.364699
154,0.575861,1176.27,0.222,0.7205,0.6855,0.088,0.5965,0.1215,0.439,0.0175199,0.363848
155,0.580003,1065.93,0.2325,0.7035,0.716,0.338,0.5935,0.4175,0.437,0.0175497,0.363838
